"question","opt1","opt2","opt3","opt4","answer","explanation"
"What is the antonym of 'abundant'?","plentiful","scarce","ample","bountiful","scarce","'Abundant' means plentiful; its antonym is 'scarce'."
"Choose the correct tense: 'By the time she arrived, we ___ dinner.'","had finished","have finished","finished","will finish","had finished","The past perfect 'had finished' shows completion before another past moment."
"Which sentence is grammatically correct?","He don't like coffee.","He doesn't like coffee.","He not like coffee.","He doesn't likes coffee.","He doesn't like coffee.","'He doesn't like' is the correct third-person singular negative."
"Select the correct preposition: 'He is good ___ mathematics.'","in","at","on","for","at","We say 'good at' a subject."
"Pick the synonym of 'lucid'.","vague","clear","opaque","murky","clear","'Lucid' means clear or easily understood."
"Choose the correct article: 'She adopted ___ orphaned kitten.'","a","an","the","no article","an","Use 'an' before vowel sounds; 'orphaned' begins with a vowel sound."
"What is the past participle of 'write'?","writed","wrote","written","writing","written","The past participle of 'write' is 'written'."
"Which is the best antonym for 'arduous'?","difficult","easy","rigorous","strenuous","easy","'Arduous' means hard; its antonym is 'easy'."
"Select the correct synonym for 'candid'.","secretive","honest","evasive","ambiguous","honest","'Candid' means honest and frank."
"Identify the correct punctuation: Choose the sentence with correct punctuation.","Its raining outside.","It's raining outside.","Its' raining outside.","It is' raining outside.","It's raining outside.","'It's' is the contraction of 'it is' and is punctuated with an apostrophe."
"Complete using the correct form: 'If I ___ you, I would apologize.'","am","was","were","be","were","After 'if' in subjunctive hypothetical sentences use 'were'."
"Which option is a countable noun?","water","information","apple","rice","apple","'Apple' is countable; 'water' and 'rice' are uncountable in general use."
"Choose the correct preposition: 'She is proficient ___ French.'","at","in","on","about","in","We say 'proficient in' a language."
"Pick the correct plural of 'analysis'.","analysises","analyses","analysis","analysi","analyses","The plural of 'analysis' is 'analyses'."
"Which sentence uses passive voice?","The chef cooked dinner.","Dinner was cooked by the chef.","The chef is cooking dinner.","The chef will cook dinner.","Dinner was cooked by the chef.","Passive voice: object becomes subject — 'Dinner was cooked by the chef.'"
"Choose the synonym for 'succinct'.","wordy","brief","lengthy","verbose","brief","'Succinct' means brief and to the point."
"Which is the correct comparative of 'bad'?","badder","worse","more bad","worser","worse","The comparative form of 'bad' is 'worse'."
"Select the correct sentence: 'Neither of the answers ___ correct.'","are","is","were","be","is","'Neither' is singular and takes 'is'."
"Pick the correct option: 'I will call you when I ___ home.'","get","got","will get","gotten","get","Use simple present 'get' in the subordinate clause for future time: 'when I get home.'"
"Which word is an adverb in this sentence: 'She sings beautifully.'","she","sings","beautiful","beautifully","beautifully","'Beautifully' modifies the verb 'sings', so it's an adverb."
"Choose correct preposition: 'The picture hangs ___ the wall.'","on","in","at","over","on","A picture hangs on a wall."
"Pick the synonym for 'prudent'.","reckless","wise","hasty","carefree","wise","'Prudent' means careful and wise."
"Which option correctly converts to reported speech: 'He said, \"I have finished.\"'","He said he has finished.","He said he had finished.","He says he had finished.","He said I have finished.","He said he had finished.","In reported speech, present perfect 'have finished' becomes past perfect 'had finished'."
"Choose the correct modal: 'You ___ see a doctor.' (advice)","must","should","may","will","should","'Should' is used for advice; 'must' is stronger obligation."
"Which is the correct use of articles: '___ unique idea came to him.'","A","An","The","No article","A","'Unique' begins with a consonant sound 'yoo-', so use 'a unique'."
"Pick the antonym of 'benevolent'.","kind","malicious","charitable","generous","malicious","'Benevolent' means kind; an antonym is 'malicious'."
"Select the correct verb form: 'By next year she ___ her degree.'","will complete","will have completed","completes","completed","will have completed","Future perfect 'will have completed' expresses completion before a future time."
"Which sentence is grammatically correct?","Between you and I, it's done.","Between you and me, it's done.","Between you and myself, it's done.","Between you and mine, it's done.","Between you and me, it's done.","Use object pronoun 'me' after preposition 'between'."
"Choose the best synonym for 'meticulous'.","careless","thorough","sloppy","negligent","thorough","'Meticulous' means showing great attention to detail — thorough."
"Pick the correct preposition: 'They arrived ___ the airport early.'","on","at","in","to","at","We say 'arrive at the airport'."
"Select the correct tense: 'He said that he ___ seen the movie before.'","has","had","have","will have","had","Backshift to past perfect 'had' for reported past."
"Which is the correct conditional: 'If you ___ earlier, we could have helped.'","came","had come","come","would come","had come","Third conditional requires past perfect 'had come'."
"Identify the antonym: 'opaque' -> ____","transparent","blurry","dark","dense","transparent","'Opaque' means not transparent; antonym is 'transparent'."
"Choose the correct article: 'She is ___ only child in the family.'","an","a","the","no article","the","Use 'the' with superlatives/specific mentions — 'the only child'."
"Pick the best synonym for 'arduous'.","easy","strenuous","simple","light","strenuous","'Arduous' means very difficult or strenuous."
"Which sentence is correct punctuation?","Lets go out!","Let's go out!","Lets' go out!","Let us' go out!","Let's go out!","Contraction for 'let us' uses apostrophe: 'Let's'."
"Choose correct tense: 'They ___ in Paris since 2015.'","lived","have lived","have been living","lives","have lived","Present perfect 'have lived' with 'since 2015' indicates duration."
"Which preposition fits: 'She is accused ___ theft.'","for","of","with","about","of","Accused of (committed) theft."
"Pick the synonym for 'vivid'.","dull","bright","faint","blurred","bright","'Vivid' means very clear, bright, or intense."
"Choose the correct plural: 'appendix' -> ____","appendixes","appendices","appendixes/appendices","appendixs","appendices","'Appendix' plural is 'appendices' (or 'appendixes')."
"Select the right verb: 'She made him ___ the truth.'","to tell","telling","tell","told","tell","Causative structure 'made him tell' uses bare infinitive 'tell'."
"Which is the antonym of 'scarce'?","sparse","abundant","rare","insufficient","abundant","'Scarce' means rare; antonym 'abundant' means plentiful."
"Choose correct usage: 'I prefer tea ___ coffee.'","than","to","over","instead","to","'Prefer X to Y' is correct usage."
"Pick the correct form: 'I wish I ___ earlier.'","left","had left","have left","will leave","had left","'I wish' about the past uses past perfect 'had left'."
"Which is the correct homophone usage? 'She will ___ him tomorrow.'","meet","meat","mete","meete","meet","'Meet' (to encounter) is correct; 'meat' is food."
"Choose the right preposition: 'He is dependent ___ his parents.'","on","in","for","to","on","Use 'dependent on' someone."
"Pick the synonym for 'prudent'.","careless","cautious","reckless","hasty","cautious","'Prudent' means cautious or careful."
"Which sentence is passive?","They publish the report.","The report is published by them.","They are publishing the report.","They will publish the report.","The report is published by them.","Passive: 'The report is published by them.'"
"Choose the correct tense: 'By 2025, I ___ here for ten years.'","will be","will have been","have been","had been","will have been","Future perfect 'will have been' expresses duration until a future time."
"Pick the antonym of 'transparent'.","clear","opaque","see-through","lucid","opaque","'Transparent' opposite is 'opaque'."
"Select correct article: 'He is ___ heir to the throne.'","a","an","the","no article","an","'Heir' begins with vowel sound 'air', use 'an'."
"Which is the best synonym for 'benevolent'?","malevolent","kind","cruel","hostile","kind","'Benevolent' means kind-hearted or generous."
"Choose the correct comparative: 'She is ___ than her sister.'","taller","more tall","tallest","most tall","taller","Standard comparative is 'taller'."
"Pick the right preposition: 'We walked ___ the park.'","through","into","over","by","through","'Walk through the park' indicates moving inside area."
