question,opt1,opt2,opt3,opt4,answer,explanation
Not only ______ the deadline, but he also exceeded the quality expectations.,did he meet,he met,he did meet,met he,did he meet,"When a sentence begins with a negative adverbial like 'Not only', subject-auxiliary inversion is required."
______ circumstances should you leave the door unlocked.,Under no,In no,At any,With no,Under no,"The phrase 'Under no circumstances' is the standard negative adverbial phrase used to express prohibition, requiring inversion."
Had I known about the traffic I ______ earlier.,would leave,will have left,would have left,left,would have left,"This is a Third Conditional structure with inversion (omitting 'if'). It requires 'would have + past participle' in the main clause."
It is essential that she ______ immediately.,be informed,is informed,will be informed,informed,be informed,"The subjunctive mood is used after adjectives of necessity like 'essential'. The base form 'be' is used regardless of the subject."
Scarcely had we started dinner ______ the phone rang.,than,when,then,after,when,"'Scarcely' and 'hardly' are followed by 'when', whereas 'no sooner' is followed by 'than'."
He suggested that we ______ to the cinema.,go,went,are going,will go,go,"The subjunctive mood follows verbs of suggestion/command. 'Suggested that we go' uses the base form."
Little ______ how much trouble he was in.,he realized,did he realize,he did realize,realized he,did he realize,"Sentences starting with limiting adverbs like 'Little' require subject-auxiliary inversion for emphasis."
I would rather you ______ me the truth right now.,tell,told,had told,telling,told,"'Would rather' followed by a subject requires the past subjunctive (past simple form) to refer to the present or future."
It's high time we ______ home.,go,went,have gone,had gone,went,"The phrase 'It's high time' is followed by the past simple to express that something should have happened already."
______ being exhausted he finished the marathon.,Despite,Although,Even though,In spite,Despite,"'Despite' is a preposition and must be followed by a noun or gerund (-ing), unlike 'although' which takes a full clause."
The Prime Minister, along with his cabinet, ______ arrived.,has,have,are,were,has,"Phrases introduced by 'along with', 'as well as', or 'together with' do not change the number of the subject. The subject remains singular ('Prime Minister')."
Neither the employees nor the manager ______ aware of the changes.,were,was,are,have been,was,"With 'neither... nor', the verb agrees with the noun closest to it. Here, 'manager' is singular."
______ I to accept the offer I would need a raise.,If,Were,Was,Should,Were,"This is an inverted Second Conditional. 'Were I to accept' is more formal than 'If I were to accept'."
I resent ______ to like a child.,being spoken,to be spoken,speaking,to speak,being spoken,"'Resent' is followed by a gerund. The passive gerund 'being spoken to' is needed here."
No sooner ______ the room than the lights went out.,I entered,did I enter,had I entered,I had entered,had I entered,"'No sooner' typically triggers past perfect inversion ('had I entered') and is followed by 'than'."
He acts as though he ______ the owner of the company.,is,was,were,has been,were,"'As though' triggers the subjunctive 'were' when describing a hypothetical or unreal situation."
Only by working hard ______ succeed.,you will,will you,you can,did you,will you,"When a sentence starts with 'Only' + prepositional phrase, subject-auxiliary inversion is required."
We obtained permission ______ the authority.,of,from,by,with,from,"The correct preposition depends on the source: you obtain permission 'from' a person or body."
My sister, ______ lives in Paris, is coming to visit.,that,who,which,whom,who,"Use 'who' for non-defining relative clauses referring to people. 'That' is not used in non-defining clauses (clauses with commas)."
He is the man ______ I believe is the best candidate.,who,whom,which,whose,who,"'Who' is the subject of the verb 'is'. The clause 'I believe' is parenthetical and does not change the case."
