question,opt1,opt2,opt3,opt4,answer,explanation
I usually ______ to work by bus.,go,am going,gone,have gone,go,Use present simple for regular habits or routines.
Look! It ______ raining.,is,was,are,were,is,Use present continuous for actions happening right now.
She ______ the project yesterday.,finish,finishes,finished,has finished,finished,Use past simple for actions completed at a specific time in the past.
They ______ in London since 2010.,live,lived,have lived,are living,have lived,Use present perfect for actions starting in the past and continuing to the present.
If I ______ you I would accept the offer.,am,was,were,be,were,Use 'were' in the second conditional for hypothetical situations.
He ______ speak three languages fluently.,can,may,might,should,can,Use 'can' to express ability.
She is ______ than her sister.,tall,taller,tallest,more tall,taller,Use the comparative form 'taller' when comparing two people.
This is the ______ book I have ever read.,good,better,best,most good,best,Use the superlative form 'best' for the highest degree of quality.
I am interested ______ learning French.,on,at,in,for,in,The correct preposition after 'interested' is 'in'.
She is good ______ mathematics.,in,at,on,with,at,The correct preposition after 'good' (regarding ability) is 'at'.
We arrived ______ the station late.,in,on,at,to,at,Use 'at' for specific locations like a station.
He has been working here ______ ten years.,since,for,from,in,for,Use 'for' with a duration of time.
I haven't seen him ______ last Monday.,since,for,from,until,since,Use 'since' with a specific point in time.
Please turn ______ the lights before you leave.,on,in,off,out,off,To stop a light or machine working use 'turn off'.
She is married ______ a doctor.,with,to,for,by,to,The correct preposition is 'married to' not 'married with'.
I prefer coffee ______ tea.,than,from,to,over,to,Use 'prefer... to...' for comparisons of preference.
Neither of the answers ______ correct.,is,are,were,have,is,'Neither' takes a singular verb.
The team ______ playing well today.,is,are,have,has,is,Collective nouns like 'team' generally take a singular verb in American English.
One of my friends ______ coming to visit.,is,are,were,have,is,The subject is 'One' (singular) so the verb is 'is'.
Bread and butter ______ his favorite breakfast.,is,are,were,have,is,'Bread and butter' is considered a single idea/dish so it takes a singular verb.
I saw ______ elephant at the zoo.,a,an,the,no article,an,Use 'an' before words starting with a vowel sound.
She is ______ honest woman.,a,an,the,no article,an,'Honest' starts with a vowel sound (silent h).
______ Earth revolves around the Sun.,A,An,The,No article,The,Use 'the' for unique objects like the Earth.
Can you play ______ guitar?,a,an,the,no article,the,Use 'the' with musical instruments.
I didn't buy ______ apples.,some,any,much,little,any,Use 'any' in negative sentences with plural countable nouns.
There is ______ water in the bottle.,some,any,many,few,some,Use 'some' in positive sentences with uncountable nouns.
How ______ money do you have?,many,much,few,a few,much,Use 'much' with uncountable nouns like 'money'.
How ______ books did you buy?,many,much,little,a little,many,Use 'many' with countable nouns like 'books'.
He drives very ______.,careful,carefully,care,cared,carefully,Use an adverb to modify a verb.
She sings ______.,beautiful,beauty,beautifully,beautify,beautifully,Use an adverb to describe how she sings.
The soup tastes ______.,good,well,goodly,betterly,good,Linking verbs like 'taste' are followed by adjectives not adverbs.
I will call you when I ______ home.,get,will get,got,getting,get,Use present tense in time clauses referring to the future.
